id,upstream_path,source_kind,surface,owner_crate,milestone,priority,parity_mode,comparator_type,status,future_bucket,defer_reason,acceptance_check
cpp-sparse-shot,src/stim/io/sparse_shot.test.cc,cxx-test,result-format,stab-core,M8,P0,exact-output,direct-rust,planned,,,M8 sparse shot result format tests
cpp-bit-ref,src/stim/mem/bit_ref.test.cc,cxx-test,bit-kernel,stab-core,M5,P0,property,direct-rust,planned,,,M5 bit reference and boundary tests
cpp-fixed-cap-vector,src/stim/mem/fixed_cap_vector.test.cc,cxx-test,container-utility,none,Future,Skip,skipped,skipped,skipped,,,Only port if Stab introduces an equivalent container
cpp-monotonic-buffer,src/stim/mem/monotonic_buffer.test.cc,cxx-test,container-utility,none,Future,Skip,skipped,skipped,skipped,,,Only port if Stab introduces an equivalent allocator
cpp-simd-bit-table,src/stim/mem/simd_bit_table.test.cc,cxx-test,bit-kernel,stab-core,M5,P0,property,direct-rust,planned,,,M5 portable SIMD bit table property tests
cpp-simd-bits,src/stim/mem/simd_bits.test.cc,cxx-test,bit-kernel,stab-core,M5,P0,property,direct-rust,planned,,,M5 portable SIMD bit vector property tests
cpp-simd-bits-range,src/stim/mem/simd_bits_range_ref.test.cc,cxx-test,bit-kernel,stab-core,M5,P0,property,direct-rust,planned,,,M5 range reference property tests
cpp-simd-util,src/stim/mem/simd_util.test.cc,cxx-test,bit-kernel,stab-core,M5,P0,property,direct-rust,planned,,,M5 SIMD utility scalar equivalence tests
cpp-simd-word,src/stim/mem/simd_word.test.cc,cxx-test,bit-kernel,stab-core,M5,P0,property,direct-rust,planned,,,M5 bit word scalar equivalence tests
cpp-sparse-xor-vec,src/stim/mem/sparse_xor_vec.test.cc,cxx-test,bit-kernel,stab-core,M5,P0,property,direct-rust,planned,,,M5 sparse XOR vector property tests
cpp-graphlike-algo,src/stim/search/graphlike/algo.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 graphlike search algorithm tests
cpp-graphlike-edge,src/stim/search/graphlike/edge.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 graphlike edge model tests
cpp-graphlike-graph,src/stim/search/graphlike/graph.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 graphlike graph construction tests
cpp-graphlike-node,src/stim/search/graphlike/node.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 graphlike node model tests
cpp-graphlike-state,src/stim/search/graphlike/search_state.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 graphlike search-state tests
cpp-hyper-algo,src/stim/search/hyper/algo.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 hypergraph search algorithm tests
cpp-hyper-edge,src/stim/search/hyper/edge.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 hypergraph edge model tests
cpp-hyper-graph,src/stim/search/hyper/graph.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 hypergraph construction tests
cpp-hyper-node,src/stim/search/hyper/node.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 hypergraph node model tests
cpp-hyper-state,src/stim/search/hyper/search_state.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 hypergraph search-state tests
cpp-sat-wcnf,src/stim/search/sat/wcnf.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 WCNF output tests for analyzer internals
cpp-dem-sampler,src/stim/simulators/dem_sampler.test.cc,cxx-test,sampler,stab-core,M11,P0,exact-output-and-statistical,oracle,planned,,,M11 compiled DEM sampler tests
cpp-error-analyzer,src/stim/simulators/error_analyzer.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,oracle,planned,,,M10 circuit to DEM analyzer tests
cpp-error-matcher,src/stim/simulators/error_matcher.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 error matcher tests
cpp-frame-simulator,src/stim/simulators/frame_simulator.test.cc,cxx-test,sampler,stab-core,M8,P0,exact-output-and-statistical,oracle,planned,,,M8 frame simulator sampling tests
cpp-frame-simulator-util,src/stim/simulators/frame_simulator_util.test.cc,cxx-test,sampler,stab-core,M8,P0,structural,direct-rust,planned,,,M8 frame simulator utility tests
cpp-graph-simulator,src/stim/simulators/graph_simulator.test.cc,cxx-test,sampler,stab-core,M8,P0,structural,direct-rust,planned,,,M8 graph simulator structural checks
cpp-matched-error,src/stim/simulators/matched_error.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 matched error analyzer structures
cpp-m2d,src/stim/simulators/measurements_to_detection_events.test.cc,cxx-test,detector-conversion,stab-core,M9,P0,exact-output,oracle,planned,,,M9 measurement to detection conversion tests
cpp-sparse-rev-frame-tracker,src/stim/simulators/sparse_rev_frame_tracker.test.cc,cxx-test,sampler,stab-core,M8,P0,structural,direct-rust,planned,,,M8 sparse reverse frame tracker tests
cpp-tableau-simulator,src/stim/simulators/tableau_simulator.test.cc,cxx-test,sampler,stab-core,M8,P0,structural,oracle,planned,,,M8 tableau simulator semantic tests
cpp-vector-simulator,src/stim/simulators/vector_simulator.test.cc,cxx-test,sampler,stab-core,M8,P0,structural,direct-rust,planned,,,M8 vector simulator semantic cross-checks
cpp-clifford-string,src/stim/stabilizers/clifford_string.test.cc,cxx-test,pauli-string,stab-core,M6,P0,property,direct-rust,planned,,,M6 Clifford string algebra tests
cpp-flex-pauli-string,src/stim/stabilizers/flex_pauli_string.test.cc,cxx-test,pauli-string,stab-core,M6,P0,property,direct-rust,planned,,,M6 flexible Pauli string tests
cpp-flow,src/stim/stabilizers/flow.test.cc,cxx-test,tableau,stab-core,M6,P0,structural,direct-rust,planned,,,M6 flow and stabilizer relation tests
cpp-pauli-string,src/stim/stabilizers/pauli_string.test.cc,cxx-test,pauli-string,stab-core,M6,P0,property,direct-rust,planned,,,M6 Pauli string algebra tests
cpp-pauli-string-iter,src/stim/stabilizers/pauli_string_iter.test.cc,cxx-test,pauli-string,stab-core,M6,P0,property,direct-rust,planned,,,M6 Pauli string iterator tests
cpp-pauli-string-ref,src/stim/stabilizers/pauli_string_ref.test.cc,cxx-test,pauli-string,stab-core,M6,P0,property,direct-rust,planned,,,M6 Pauli string reference view tests
cpp-tableau,src/stim/stabilizers/tableau.test.cc,cxx-test,tableau,stab-core,M6,P0,property,direct-rust,planned,,,M6 tableau algebra tests
cpp-tableau-iter,src/stim/stabilizers/tableau_iter.test.cc,cxx-test,tableau,stab-core,M6,P0,property,direct-rust,planned,,,M6 tableau iterator tests
cpp-arg-parse,src/stim/util_bot/arg_parse.test.cc,cxx-test,cli-args,stab-cli,M7,P1,structural,direct-rust,planned,,,M7 typed CLI argument boundary tests
cpp-error-decomp,src/stim/util_bot/error_decomp.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,direct-rust,planned,,,M10 error decomposition utility tests
cpp-probability-util,src/stim/util_bot/probability_util.test.cc,cxx-test,probability,stab-core,M4,P0,property,direct-rust,planned,,,M4 probability typed-boundary tests
cpp-str-util,src/stim/util_bot/str_util.test.cc,cxx-test,string-utility,none,Future,Skip,skipped,skipped,skipped,,,Only port if Stab exposes equivalent risky string helpers
cpp-test-util,src/stim/util_bot/test_util.test.cc,cxx-test,test-utility,none,Future,Skip,skipped,skipped,skipped,,,C++ test helper parity is not a product surface
cpp-twiddle,src/stim/util_bot/twiddle.test.cc,cxx-test,bit-kernel,stab-core,M5,P0,property,direct-rust,planned,,,M5 bit trick tests when equivalent operations exist
cpp-flow-generators,src/stim/util_top/circuit_flow_generators.test.cc,cxx-test,tableau,stab-core,M6,P1,structural,direct-rust,planned,,,M6 circuit flow generator tests
cpp-inverse-qec,src/stim/util_top/circuit_inverse_qec.test.cc,cxx-test,tableau,stab-core,M6,P1,structural,oracle,planned,,,M6 QEC inverse circuit tests
cpp-inverse-unitary,src/stim/util_top/circuit_inverse_unitary.test.cc,cxx-test,tableau,stab-core,M6,P1,structural,oracle,planned,,,M6 unitary inverse circuit tests
cpp-circuit-to-dem,src/stim/util_top/circuit_to_dem.test.cc,cxx-test,dem-analysis,stab-core,M10,P0,structural,oracle,planned,,,M10 circuit to DEM equivalence tests
cpp-detecting-regions,src/stim/util_top/circuit_to_detecting_regions.test.cc,cxx-test,detector-conversion,stab-core,M9,P1,structural,direct-rust,planned,,,M9 detecting region tests
cpp-amplitudes,src/stim/util_top/circuit_vs_amplitudes.test.cc,cxx-test,sampler,stab-core,M8,P2,structural,direct-rust,planned,,,M8 small semantic vector cross-checks
cpp-circuit-vs-tableau,src/stim/util_top/circuit_vs_tableau.test.cc,cxx-test,tableau,stab-core,M6,P1,structural,oracle,planned,,,M6 circuit versus tableau tests
cpp-count-determined,src/stim/util_top/count_determined_measurements.test.cc,cxx-test,sampler,stab-core,M8,P1,structural,oracle,planned,,,M8 determined measurement count tests
cpp-export-crumble,src/stim/util_top/export_crumble_url.test.cc,cxx-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble export deferred beyond core beta,Future Crumble compatibility plan
cpp-export-qasm,src/stim/util_top/export_qasm.test.cc,cxx-test,qasm,none,Future,P3,deferred,deferred,deferred,qasm,QASM export outside initial CLI order,Future QASM export plan
cpp-export-quirk,src/stim/util_top/export_quirk_url.test.cc,cxx-test,quirk,none,Future,P3,deferred,deferred,deferred,quirk,Quirk export outside initial CLI order,Future Quirk export plan
cpp-has-flow,src/stim/util_top/has_flow.test.cc,cxx-test,tableau,stab-core,M6,P1,structural,direct-rust,planned,,,M6 flow satisfaction tests
cpp-mbqc-decomposition,src/stim/util_top/mbqc_decomposition.test.cc,cxx-test,tableau,stab-core,M6,P1,structural,oracle,planned,,,M6 MBQC decomposition flow tests
cpp-missing-detectors,src/stim/util_top/missing_detectors.test.cc,cxx-test,detector-conversion,stab-core,M9,P1,structural,oracle,planned,,,M9 missing detector structural tests
cpp-reference-sample-tree,src/stim/util_top/reference_sample_tree.test.cc,cxx-test,sampler,stab-core,M8,P1,structural,direct-rust,planned,,,M8 reference sample tree tests
cpp-simplified-circuit,src/stim/util_top/simplified_circuit.test.cc,cxx-test,tableau,stab-core,M6,P1,structural,oracle,planned,,,M6 simplified circuit base-decomposition tests
cpp-stabilizers-to-tableau,src/stim/util_top/stabilizers_to_tableau.test.cc,cxx-test,tableau,stab-core,M6,P1,structural,direct-rust,planned,,,M6 stabilizers to tableau tests
cpp-stabilizers-vs-amplitudes,src/stim/util_top/stabilizers_vs_amplitudes.test.cc,cxx-test,tableau,stab-core,M6,P2,structural,direct-rust,planned,,,M6 small stabilizer amplitude semantic checks
cpp-transform-without-feedback,src/stim/util_top/transform_without_feedback.test.cc,cxx-test,detector-conversion,stab-core,M9,P1,structural,oracle,planned,,,M9 feedback-removal detector-conversion fixtures
py-circuit-instruction,src/stim/circuit/circuit_instruction_pybind_test.py,py-test,stim-format,stab-core,M4,P2,semantic-mining,direct-rust,planned,,,M4 mine instruction semantics and error cases
py-circuit,src/stim/circuit/circuit_pybind_test.py,py-test,stim-format,stab-core,M4,P2,semantic-mining,direct-rust,planned,,,M4 mine circuit constructor parse print and equality semantics
py-repeat-block,src/stim/circuit/circuit_repeat_block_test.py,py-test,stim-format,stab-core,M4,P2,semantic-mining,direct-rust,planned,,,M4 mine repeat block semantics
py-gate-target,src/stim/circuit/gate_target_pybind_test.py,py-test,targets,stab-core,M4,P2,semantic-mining,direct-rust,planned,,,M4 mine target semantics
py-dem-instruction,src/stim/dem/dem_instruction_pybind_test.py,py-test,dem-format,stab-core,M10,P2,semantic-mining,direct-rust,planned,,,M10 mine DEM instruction semantics
py-dem,src/stim/dem/detector_error_model_pybind_test.py,py-test,dem-format,stab-core,M10,P2,semantic-mining,direct-rust,planned,,,M10 mine DEM model semantics
py-dem-repeat,src/stim/dem/detector_error_model_repeat_block_pybind_test.py,py-test,dem-format,stab-core,M10,P2,semantic-mining,direct-rust,planned,,,M10 mine DEM repeat block semantics
py-dem-target,src/stim/dem/detector_error_model_target_pybind_test.py,py-test,dem-format,stab-core,M10,P2,semantic-mining,direct-rust,planned,,,M10 mine DEM target semantics
py-gates,src/stim/gates/gates_test.py,py-test,gate-table,stab-core,M4,P2,semantic-mining,direct-rust,planned,,,M4 mine gate metadata semantics
py-compiled-detector-sampler,src/stim/py/compiled_detector_sampler_pybind_test.py,py-test,sampler,stab-core,M11,P2,semantic-mining,direct-rust,planned,,,M11 mine compiled detector sampler behavior
py-compiled-measurement-sampler,src/stim/py/compiled_measurement_sampler_pybind_test.py,py-test,sampler,stab-core,M8,P2,semantic-mining,direct-rust,planned,,,M8 mine compiled measurement sampler behavior
py-stim-main,src/stim/py/stim_pybind_test.py,py-test,cli-entry,stab-cli,M7,P2,semantic-mining,direct-rust,planned,,,M7 mine CLI entry behavior before Python bindings
py-dem-sampler,src/stim/simulators/dem_sampler_pybind_test.py,py-test,sampler,stab-core,M11,P2,semantic-mining,direct-rust,planned,,,M11 mine DEM sampler behavior
py-frame-simulator,src/stim/simulators/frame_simulator_pybind_test.py,py-test,sampler,stab-core,M8,P2,semantic-mining,direct-rust,planned,,,M8 mine frame simulator semantics
py-matched-error,src/stim/simulators/matched_error_pybind_test.py,py-test,dem-analysis,stab-core,M10,P2,semantic-mining,direct-rust,planned,,,M10 mine matched error semantics
py-m2d,src/stim/simulators/measurements_to_detection_events_test.py,py-test,detector-conversion,stab-core,M9,P2,semantic-mining,direct-rust,planned,,,M9 mine measurement to detection behavior
py-tableau-simulator,src/stim/simulators/tableau_simulator_pybind_test.py,py-test,sampler,stab-core,M8,P2,semantic-mining,direct-rust,planned,,,M8 mine tableau simulator semantics
py-clifford-string,src/stim/stabilizers/clifford_string_pybind_test.py,py-test,pauli-string,stab-core,M6,P2,semantic-mining,direct-rust,planned,,,M6 mine Clifford string semantics
py-flow,src/stim/stabilizers/flow_pybind_test.py,py-test,tableau,stab-core,M6,P2,semantic-mining,direct-rust,planned,,,M6 mine flow semantics
py-pauli-string,src/stim/stabilizers/pauli_string_pybind_test.py,py-test,pauli-string,stab-core,M6,P2,semantic-mining,direct-rust,planned,,,M6 mine Pauli string semantics
py-tableau,src/stim/stabilizers/tableau_pybind_test.py,py-test,tableau,stab-core,M6,P2,semantic-mining,direct-rust,planned,,,M6 mine tableau semantics
py-flow-generators,src/stim/util_top/circuit_flow_generators_test.py,py-test,tableau,stab-core,M6,P2,semantic-mining,direct-rust,planned,,,M6 mine circuit flow generator semantics
py-inverse-qec,src/stim/util_top/circuit_inverse_qec_test.py,py-test,tableau,stab-core,M6,P2,semantic-mining,direct-rust,planned,,,M6 mine inverse QEC semantics
py-detecting-regions,src/stim/util_top/circuit_to_detecting_regions_test.py,py-test,detector-conversion,stab-core,M9,P2,semantic-mining,direct-rust,planned,,,M9 mine detecting region semantics
py-export-crumble,src/stim/util_top/export_crumble_url_pybind_test.py,py-test,crumble,none,Future,P3,deferred,deferred,deferred,crumble,Crumble export deferred beyond core beta,Future Crumble compatibility plan
py-export-qasm,src/stim/util_top/export_qasm_pybind_test.py,py-test,qasm,none,Future,P3,deferred,deferred,deferred,qasm,QASM export outside initial CLI order,Future QASM export plan
py-export-quirk,src/stim/util_top/export_quirk_url_pybind_test.py,py-test,quirk,none,Future,P3,deferred,deferred,deferred,quirk,Quirk export outside initial CLI order,Future Quirk export plan
py-deferred-cirq-stimcirq-cirq-to-stim-test-py,glue/cirq/stimcirq/_cirq_to_stim_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-cx-swap-test-py,glue/cirq/stimcirq/_cx_swap_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-cz-swap-test-py,glue/cirq/stimcirq/_cz_swap_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-det-annotation-test-py,glue/cirq/stimcirq/_det_annotation_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-feedback-pauli-test-py,glue/cirq/stimcirq/_feedback_pauli_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-i-error-gate-test-py,glue/cirq/stimcirq/_i_error_gate_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-ii-error-gate-test-py,glue/cirq/stimcirq/_ii_error_gate_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-ii-gate-test-py,glue/cirq/stimcirq/_ii_gate_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-measure-and-or-reset-gate-test-py,glue/cirq/stimcirq/_measure_and_or_reset_gate_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-obs-annotation-test-py,glue/cirq/stimcirq/_obs_annotation_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-shift-coords-annotation-test-py,glue/cirq/stimcirq/_shift_coords_annotation_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-stim-sampler-test-py,glue/cirq/stimcirq/_stim_sampler_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-sweep-pauli-test-py,glue/cirq/stimcirq/_sweep_pauli_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-cirq-stimcirq-two-qubit-asymmetric-depolarize-test-py,glue/cirq/stimcirq/_two_qubit_asymmetric_depolarize_test.py,py-test,cirq,none,Future,P3,deferred,deferred,deferred,cirq,Cirq integration deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-lattice-surgery-stimzx-external-stabilizer-test-py,glue/lattice_surgery/stimzx/_external_stabilizer_test.py,py-test,lattice-surgery,none,Future,P3,deferred,deferred,deferred,lattice_surgery,Lattice surgery ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-lattice-surgery-stimzx-text-diagram-parsing-test-py,glue/lattice_surgery/stimzx/_text_diagram_parsing_test.py,py-test,lattice-surgery,none,Future,P3,deferred,deferred,deferred,lattice_surgery,Lattice surgery ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-collection-collection-manager-test-py,glue/sample/src/sinter/_collection/_collection_manager_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-collection-collection-test-py,glue/sample/src/sinter/_collection/_collection_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
py-deferred-sample-src-sinter-collection-collection-worker-test-py,glue/sample/src/sinter/_collection/_collection_worker_test.py,py-test,sinter,none,Future,P3,deferred,deferred,deferred,sinter,Sinter ecosystem deferred beyond core beta,Future ecosystem compatibility plan
